KEY	UK	EN	DE	FR
Equipment/&DLC3_Document_BericLetter_Content02	Дорогі друзі, мене здивувало, що майстриня Гудчір розповіла мені про вас. Вона сказала, що ви слідкуєте за демонами, що дуже турботиться. Думка, що Сорракат і демони можуть співпрацювати, не дає мені спати вночі. З іншого боку, війська Князівства здобули вирішальну перемогу на фронті.	Dear friends, I was surprised to hear from Master Goodcheer on your behalf. She told me you were tracking demons, which is a worrying prospect. The thought that Sorr-Akkath and demons could be working together keeps me up at night. On the bright side, the troops of the Principality won a decisive battle on the front.	Liebe Freunde, es hat mich überrascht, dass Meisterin Frohmut mir von euch erzählte. Sie sagte mir, dass ihr Dämonen verfolgt, was sehr beunruhigend ist. Der Gedanke, dass Sorr-Akkath und Dämonen zusammenarbeiten könnten, lässt mich nachts nicht schlafen. Positiv zu verzeichnen ist, dass die Truppen des Fürstentums an der Front eine entscheidende Schlacht gewinnen konnten.	Dear friends, I was surprised to hear from Master Goodcheer on your behalf. She told me you were tracking demons, which is a worrying prospect. The thought that Sorr-Akkath and demons could be working together keeps me up at night. On the bright side, the troops of the Principality won a decisive battle on the front.
Equipment/&DLC3_Document_BericLetter_Content02b	Боюсь, це може спонукати нашого ворога перемістити свої війська на північ і створити більше проблем для Сніжного Союзу. Бажаю вам удачі у ваших дослідженнях. Маршал Берік Соняний Промінь	I'm afraid this might push our enemy to move its troops northwards and cause more trouble for the Snow Alliance. Good luck with your research. Marshal Beric Sunblaze	Ich fürchte, das könnte unseren Feind dazu bringen, seine Truppen nach Norden zu verlegen und der Schnee-Allianz mehr Schwierigkeiten zu bereiten. Viel Glück bei eurer Forschung. Marschall Beric Sonnenglut	I'm afraid this might push our enemy to move its troops northwards and cause more trouble for the Snow Alliance. Good luck with your research. Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content03	Дорогі друзі, я отримав повідомлення від командира Майлза з форпосту Хайрок. Він розповів мені, що ви розкрили мережу Сорак, яка пов'язувала квартирмейстера мародерів на ім'я Гектор з інфілювателем серед його людей.	Dear friends, I received word from Commander Miles at Highrock Outpost. He tells me you unraveled a Sorak network that linked a scavenger quartermaster named Hector to an infiltrator among his men.	Liebe Freunde, ich habe Nachricht von Kommandant Miles am Hochfels-Außenposten erhalten. Er erzählte mir, dass ihr ein Sorak-Netzwerk enttarnt habt, das einen Plünderer-Quartiermeister namens Hektor mit einem Eindringling unter seinen Männern verband.	Dear friends, I received word from Commander Miles at Highrock Outpost. He tells me you unraveled a Sorak network that linked a scavenger quartermaster named Hector to an infiltrator among his men.
Equipment/&DLC3_Document_BericLetter_Content03b	Це означає, що незважаючи на масштабний напад проти Каер-Кифлена, Сорр-Аккат все ще мають сплячих агентів по всьому Східному Королівству.	That means that despite their massive attack against Caer Cyflen, the Sorr-Akkath still have sleeping agents all over the Eastern Kingdoms.	Das bedeutet, dass die Sorr-Akkath trotz ihres massiven Angriffs gegen Caer Cyflen immer noch schlafende Agenten überall in den Östlichen Königreichen haben.	That means that despite their massive attack against Caer Cyflen, the Sorr-Akkath still have sleeping agents all over the Eastern Kingdoms.
Equipment/&DLC3_Document_BericLetter_Content03c	Продовжуйте добру роботу. Кожна операція, яку ми розкриваємо, — ще один удар по їхніх злих планах.\nЕйнар веди вас!\n\nМаршал Берік Соняний Промінь	Keep up the good work. Every operation that we reveal is another blow to their evil plans. \n  Einar guide you!\n  \n  Marshal Beric Sunblaze	Führt eure wertvolle Arbeit fort. Jede Operation, die wir aufdecken, behindert ihre bösen Pläne weiter.\n  Einar leite euch!\n  \n  Marschall Beric Sonnenglut	Keep up the good work. Every operation that we reveal is another blow to their evil plans. \n  Einar guide you!\n  \n  Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content04	Дорогі друзі, я дізнався про події на лінії фронту між Галліваном і Сніжним Союзом. Я зустрічався з генералом Блант, але не з капітаном Ешдауном. Вибачте, що все вийшло так, але я довіряю, що ви зробите правильний вибір. Головне — ви отримали підтримку Ітайнен Вартмеркін.	Dear friends, I received word of the events on the frontline between Gallivan and the Snow Alliance. I met with General Blunt but not with Captain Ashdown. I'm sorry things had to turn the way they did, but I trust your make the right choice. What matters is that you obtained the support of the Itainen Vartmerkint.	Liebe Freunde, ich habe von den Ereignissen an der Front zwischen Gallivan und der Schnee-Allianz erfahren. Ich habe mich mit Generalin Stumpf getroffen, aber nicht mit Hauptmann Ascheregen. Es tut mir leid, dass die Dinge sich so entwickelt haben, aber ich vertraue darauf, dass ihr die richtige Entscheidung treffen werdet. Was zählt, ist, dass ihr die Unterstützung der Itainen Vartmerkint erhalten habt.	Dear friends, I received word of the events on the frontline between Gallivan and the Snow Alliance. I met with General Blunt but not with Captain Ashdown. I'm sorry things had to turn the way they did, but I trust your make the right choice. What matters is that you obtained the support of the Itainen Vartmerkint.
Equipment/&DLC3_Document_BericLetter_Content04b	Також я радію від усього шкоди, який ви завдали слугам Сорр-Аккату в арміях Галлівана. \nУ нас все ще є сильні підозри, що королівська родина там була замінена, і ми не знаємо, де тримають у полоні справжнього короля Жорналаса IV. \nДотримуйтеся світла! Маршал Берік Соняний Промінь	I'm also glad of all the damage you dealt to the Sorr-Akkath pawns in the armies of Gallivan. \n  We still have strong suspicions that the royal family there has been replaced, and no idea of where the real King, Jornalas IV, is being held prisoner. \n  Stay in the light! Marshal Beric Sunblaze	Ich bin auch froh ob des ganzen Schadens, den ihr den Sorr-Akkath-Lakaien in den gallivanischen Armeen zugefügt habt.\n  Wir haben immer noch den starken Verdacht, dass die königliche Familie ersetzt worden ist, und wissen nicht, wo der echte König Jornalas IV gefangen gehalten wird.\n  Bleibt im Licht! Marschall Beric Sonnenglut	I'm also glad of all the damage you dealt to the Sorr-Akkath pawns in the armies of Gallivan. \n  We still have strong suspicions that the royal family there has been replaced, and no idea of where the real King, Jornalas IV, is being held prisoner. \n  Stay in the light! Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content05	Дорогі друзі, я чув про ваші пригоди в елфійських поселеннях Сніжного Союзу. \nЗнову ви знайшли Сораксів, які підривають впливових людей і мають складні плани маніпулювати нашими союзниками. \nЯ сподіваюсь, що ваші розслідування щодо демонічної загрози йдуть добре.	Dear friends, I heard about your adventures in the elven settlements of the Snow Alliance. \n  Again, you found Soraks infiltrating influential people, with elaborated plots to manipulate our allies. \n  I do hope your investigations into the demon threat is progressing well.	Liebe Freunde, ich hörte von euren Abenteuern in den elfischen Siedlungen der Schnee-Allianz.\n  Wieder habt ihr Soraks entdeckt, die einflussreiche Leute unterwandern und ausgeklügelte Pläne hegen, unsere Verbündeten zu manipulieren.\n  Ich hoffe, dass eure Untersuchungen über die dämonische Bedrohung gute Fortschritte machen.	Dear friends, I heard about your adventures in the elven settlements of the Snow Alliance. \n  Again, you found Soraks infiltrating influential people, with elaborated plots to manipulate our allies. \n  I do hope your investigations into the demon threat is progressing well.
Equipment/&DLC3_Document_BericLetter_Content05b	З нашого боку, у нас був військовий недолік на півдні: компанія найманців несподівано атакувала наші війська, але це відкрило, що Галліван має труднощі з мобілізацією власних сил. \n\nМи програли битву, а не війну. Залишайтесь у світлі! Маршал Берік Соняний Промінь	On our side, we had a military drawback in the south: a company of mercenaries hit our troops by surprise, but this does reveal that Gallivan is having difficulties mustering more of their own. \n  \n  We lost a battle, not the war. Stay in the light! Marshal Beric Sunblaze	Wir haben auf unserer Seite einen militärischen Rückschlag im Süden erlitten: Eine Gruppe von Söldnern traf unsere Truppen überraschend, aber dies hat uns die Schwierigkeiten Gallivans offenbart, mehr von ihren eigenen Soldaten zu rekrutieren.\n  \n  Wir haben einen Kampf verloren, nicht den Krieg. Bleibt im Licht! Marschall Beric Sonnenglut	On our side, we had a military drawback in the south: a company of mercenaries hit our troops by surprise, but this does reveal that Gallivan is having difficulties mustering more of their own. \n  \n  We lost a battle, not the war. Stay in the light! Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content06	Дорогі друзі, наш спільний друг Галар Золотий Язик повідомив мені про події в Турваамілліні. Знову ви запобігли втручанню Сорр-Аккату в внутрішню політику Сніжного Союзу. Нещодавно війська Князівства здобули велику перемогу на фронті, коли компанія заклинників-мечів під проводом самого лорда Данатара розпочала хаос у стратегічному місці на кордоні.	Dear friends, our common friend Galar Goldentongue informed me of the events in Turvaamalinn. Once again, you prevented the Sorr-Akkath from meddling in the internal politics of the Snow Alliance. The troops of the Principality earned a great victory on the frontline recently when a company of Spellblades, led by Lord Danantar himself, unleashed havoc on a strategic location on the border.	Liebe Freunde, unser gemeinsamer Freund Galar Goldzunge hat mich über die Ereignisse in Turvaamalinn informiert. Wieder einmal habt ihr verhindert, dass die Sorr-Akkath sich in die innere Politik der Schnee-Allianz einmischen. Die Truppen des Fürstentums trugen kürzlich einen großen Sieg an der Front davon, als eine Kompanie Kampfmagi, angeführt von Lord Danantar persönlich, einen Sturm der Zerstörung über einem strategischen Standort an der Grenze entfesselten.	Dear friends, our common friend Galar Goldentongue informed me of the events in Turvaamalinn. Once again, you prevented the Sorr-Akkath from meddling in the internal politics of the Snow Alliance. The troops of the Principality earned a great victory on the frontline recently when a company of Spellblades, led by Lord Danantar himself, unleashed havoc on a strategic location on the border.
Equipment/&DLC3_Document_BericLetter_Content06b	Деякі з офіцерів були інфілювачами Сорр-Аккату, ви не здивуєтеся це почути. Продовжуйте добру роботу. Ейнар веде вас.\n\nМаршал Берік Соняний блиск	Some of the officers were Sorr-Akkath infiltrators, you won't be surprised to hear. Continue the good work. Einar guide you.\n  \n  Marshal Beric Sunblaze	Es wird euch nicht überraschen zu erfahren, dass einige der Offiziere Sorr-Akkath-Eindringlinge waren. Setzt eure gute Arbeit fort. Einar führe euch.\n  \n  Marschall Beric Sonnenglut	Some of the officers were Sorr-Akkath infiltrators, you won't be surprised to hear. Continue the good work. Einar guide you.\n  \n  Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content07	Дорогі друзі, я отримав повідомлення, що ви подорожували на далекий північ Альянсу з моїм старим другом Мардуком Строкатим Серцем. Так, він став Паладином Ейнара в той самий рік, що й я, і ми колись були близькими.\n\nЗважаючи на нього, я припускаю, це була авантюрна експедиція, і я радію, що ви були з ним. Сподіваюся, його клан оправиться від трагічних подій, які їх спіткали.	Dear friends, I received word that you have traveled to the far north of the Alliance with my old friend Marduk Strongheart. Yes, he became a Paladin of Einar the same year I did, and we used to be close. \n  \n  Knowing him, I suppose this was an adventurous expedition, and I'm glad you were with him. I hope his clan recovers from the tragic events that have befallen them.	Liebe Freunde, ich habe Nachricht erhalten, dass ihr mit meinem alten Freund Marduk Starkherz in den fernen Norden der Allianz gereist seid. Ja, er wurde im gleichen Jahr wie ich ein Paladin Einars, und einst standen wir uns sehr nah.\n  \n  Wie ich ihn kenne, war dies wohl eine abenteuerliche Expedition, und ich bin froh, dass ihr ihn begleitet habt. Ich hoffe, dass sein Clan sich von den tragischen Ereignissen, die ihn ereilt haben, erholt.	Dear friends, I received word that you have traveled to the far north of the Alliance with my old friend Marduk Strongheart. Yes, he became a Paladin of Einar the same year I did, and we used to be close. \n  \n  Knowing him, I suppose this was an adventurous expedition, and I'm glad you were with him. I hope his clan recovers from the tragic events that have befallen them.
Equipment/&DLC3_Document_BericLetter_Content07b	З позитивного боку, у мене є новини, які вам сподобаються: наш спільний знайомий лорд Фейсех попросив дипломатичного імунітету. \nВін не Сорр-Аккат у маскировці, а просто відрадна людина, як я й думав. \n\nБажаю удачі та залишайтеся на світлі. Маршал Берік Соняний Блиск	On the bright side, I have news that you'll be happy to hear: our common acquaintance, Lord Faisech, has requested diplomatic immunity. \n  He isn't a Sorr-Akkath in disguise, but as I thought, simply a despicable human being. \n  \n  Good luck, and stay in the light. Marshal Beric Sunblaze	Positiv zu vermerken, sind Neuigkeiten, die euch freuen werden: Unser gemeinsamer Bekannter Lord Faisech hat diplomatische Immunität beantragt.\n  Er ist kein getarnter Sorr-Akkath, sondern einfach ein abscheuliches Individuum, wie ich vermutet hatte.\n  \n  Viel Glück und bleibt im Licht. Marschall Beric Sonnenglut	On the bright side, I have news that you'll be happy to hear: our common acquaintance, Lord Faisech, has requested diplomatic immunity. \n  He isn't a Sorr-Akkath in disguise, but as I thought, simply a despicable human being. \n  \n  Good luck, and stay in the light. Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Content08	Дорогі друзі, майстер Горм відправив мені повідомлення, в якому пояснив вашу ситуацію. \nТе, що ви збираєтеся зробити, ще гірше, ніж подорож через Великі Ворота до Аер Елай. \nЯ мало знаю про демонів, але достатньо, щоб порадити вам озброїтися зброєю, яка не використовує вогонь або холод, і захистити себе від цих елементів, оскільки це улюблені елементи цього Сессрота та його прислужників.	Dear friends, Master Gorm sent me a message explaining your situation. \n  What you're about to accomplish is even more dreadful than taking a Major Gate to the Aer Elai. \n  I know little of demons, but enough to recommend that you arm yourselves with weapons other than those that use fire or cold, and to protect yourselves against those elements, as they as the favorites of this Sessroth and his goons.	Liebe Freunde, Meister Gorm schickte mir eine Nachricht, die eure Lage erklärt.\n  Was ihr zu erreichen versucht, ist noch schrecklicher als eine Reise durch ein Großes Tor zum Aer Elai.\n  Ich weiß wenig über Dämonen, doch genug, um euch zu empfehlen, euch mit Waffen auszurüsten, die nicht Feuer oder Kälte nutzen, und euch gegen jene Elemente zu schützen, da diese von Sessroth und seinen Schergen bevorzugt werden.	Dear friends, Master Gorm sent me a message explaining your situation. \n  What you're about to accomplish is even more dreadful than taking a Major Gate to the Aer Elai. \n  I know little of demons, but enough to recommend that you arm yourselves with weapons other than those that use fire or cold, and to protect yourselves against those elements, as they as the favorites of this Sessroth and his goons.
Equipment/&DLC3_Document_BericLetter_Content08b	Також пам'ятайте, що демонів не можна вбити, якщо їх не вбивають на власному плані існування. \n\nСподіваюся, ви знайдете спосіб зупинити цю загрозу раз і назавжди. Ейнар веди вас. Маршал Берік Соняний Промінь	Also remember that demons cannot die unless killed on their own plane of existence. \n  \n  I hope you find a way to stop this threat once and for all. Einar guide you. Marshal Beric Sunblaze	Vergesst auch nicht, dass Dämonen nicht getötet werden können, außer sie befinden sich auf ihrer eigenen Existenzebene.\n  \n  Ich hoffe, ihr könnt diese Bedrohung ein für alle Mal beenden. Einar führe euch. Marschall Beric Sonnenglut	Also remember that demons cannot die unless killed on their own plane of existence. \n  \n  I hope you find a way to stop this threat once and for all. Einar guide you. Marshal Beric Sunblaze
Equipment/&DLC3_Document_BericLetter_Description	Як і обіцяли, ви з маршалом Соняним Променем обмінюєтесь листами, щоб бути в курсі подій у Сніговому Союзі та Князівстві. Десь так виходить, що його листи завжди вас знаходять.	As promised, you and Marshal Sunblaze exchange letters to keep informed of the situation in the Snow Alliance and in the Principality. Somehow, his letters always seem to find you.	Wie versprochen haben du und Marschall Sonnenglut Briefe ausgetauscht, um euch gegenseitig über die Lage in der Schnee-Allianz und dem Fürstentum zu informieren. Auf irgendeine Weise scheinen euch seine Briefe immer zu finden.	As promised, you and Marshal Sunblaze exchange letters to keep informed of the situation in the Snow Alliance and in the Principality. Somehow, his letters always seem to find you.
Equipment/&DLC3_Document_BericLetter_Title	Лист від маршала Беріка Соняного Пожежу	Letter from Marshal Beric Sunblaze	Brief von Generalin Marschall Beric Sonnenglut	Letter from Marshal Beric Sunblaze
Equipment/&DLC3_Document_Clue_ElvenSettlements_01_Content	Пан Гафлін, \nЯ шокований, отримавши ще один напомінання від вас. Я поважний і заможний громадянин; у вас немає підстав сумніватися в моїй платоспроможності. У мене виникли затримки з фінансуванням мого численного бізнесу, і я заплачу вам, коли настане час.\nБудь ласка, перестаньте мені докучати; ви ганьбите себе.\nФіннолір Холодний Мох	Master Galfin, \n  I am shocked to receive yet another dunning letter from you. I am a respectable and wealthy citizen; you have no reason to doubt my solvency. I happen to have financing delays with my numerous businesses, and I shall pay you when the time is right.\n  So please stop harassing me; you are disgracing yourself.\n  Finnolir Coldmoss	Meister Galfin,\n  ich bin schockiert, noch einen Brief von Euch zu erhalten. Ich bin ein respektabler und reicher Bürger; Ihr habt keinen Grund meine Liquidität anzuzweifeln. Es kam lediglich zu Finanzierungsverzögerungen bei meinen zahlreichen Geschäften und ich werde Euch bezahlen, wenn die Zeit dazu gekommen ist.\n  Also hört bitte auf, mich zu belästigen; Ihr bringt nur Schande über Euch selbst.\n  Finnolir Kaltmoos	Master Galfin, \n  I am shocked to receive yet another dunning letter from you. I am a respectable and wealthy citizen; you have no reason to doubt my solvency. I happen to have financing delays with my numerous businesses, and I shall pay you when the time is right.\n  So please stop harassing me; you are disgracing yourself.\n  Finnolir Coldmoss
Equipment/&DLC3_Document_Clue_ElvenSettlements_01_Description	Короткий лист, витончено написаний на цінному папері Фінноліром Холодним Мохом для Гаффіна Листоріза.	A short letter elegantly written on precious paper by Finnolir Coldmoss, to Galfin Leafcutter.	Ein kurzer Brief, elegant geschrieben auf wertvollem Papier von Finnolir Kaltmoos an Galfin Blattschneider.	A short letter elegantly written on precious paper by Finnolir Coldmoss, to Galfin Leafcutter.
Equipment/&DLC3_Document_Clue_ElvenSettlements_01_Title	Лист	Letter	Brief	Letter
Equipment/&DLC3_Document_Clue_ElvenSettlements_02_Content	Мій кохання, я не можу чекати, коли знову буду з тобою.\nЯ підозрюю, що Старе Кедр не є безпечним притулком для нас, хоча Беладіель з радістю продасть нам алкоголь всю ніч, я відчуваю завидливі погляди простолюдинів на нас надто сильно.\nДавай зустрінемося в іншому місці, якщо ти не проти.\nТвій назавжди, Фінно.	My love, I cannot wait to be with you again.\n  I suspect the Auld Cedar not to be a safe haven for us, though, and while Beladiel is eager to sell us liquor all night, I feel the jealous eyes of plebeians on us too heavily.\n  Let us convene of another place to meet, if you don't mind.\n  Yours forever, Finno.	Meine Liebste, ich kann es kaum erwarten, dich wiederzusehen.\n  Ich bezweifle jedoch, dass im Auld Cedar für uns ein sicherer Hafen ist. Während Beladiel uns nur zu gern die ganze Nacht über geistige Getränke einschenkt, spüre ich doch die eifersüchtigen Blicke des Pöbels zu schwer auf uns lasten.\n  Treffen wir uns lieber an einem anderen Ort, wenn es dir nichts ausmacht.\n  Für immer dein. Finno.	My love, I cannot wait to be with you again.\n  I suspect the Auld Cedar not to be a safe haven for us, though, and while Beladiel is eager to sell us liquor all night, I feel the jealous eyes of plebeians on us too heavily.\n  Let us convene of another place to meet, if you don't mind.\n  Yours forever, Finno.
Equipment/&DLC3_Document_Clue_ElvenSettlements_02_Description	Короткий лист, витончено написаний на цінному папері Фіноліром Холодним Мохом для Хайнрри Елктрі.	A short letter elegantly written on precious paper by Finnolir Coldmoss, to Khainrra Elktree.	Ein kurzer Brief, elegant geschrieben auf wertvollem Papier von Finnolir Kaltmoos an Khainrra Elchbaum.	A short letter elegantly written on precious paper by Finnolir Coldmoss, to Khainrra Elktree.
Equipment/&DLC3_Document_Clue_ElvenSettlements_02_Title	Лист	Letter	Brief	Letter
Equipment/&DLC3_Document_Clue_ElvenSettlements_03_Content	Мені повідомили, що двоє ваших волонтерів не ставляться до своїх обов'язків серйозно. Одного з них добре знають у таверні «Старий кедр» — це жінка, а інший часто відсутній на службі і недбалий, хоча це заборонено правилами. Я знаю, що ці ельфи не професійні солдати, але ті, хто кляться захищати громадян поселення, повинні бути гідними своєї присяги, інакше їм слід повернутися до мирного життя.\nКапітан Брайтхарт	It has been reported to my attention that two of your volunteers seem not to take their duty seriously. One is a notorious customer of the Auld Cedar, a woman, and the other has been reported to be inattentive and often missing hours, in spite of regulations. I know these elves are not professional soldiers, but those who swear to protect the citizens of the settlement must be worthy of their oath, otherwise, they should return to their civilian activities.\n  Captain Brightheart	Ich wurde darauf aufmerksam gemacht, dass zwei Eurer Freiwilligen ihre Pflichten nicht ernst nehmen. Einer von ihnen ist eine Frau, eine altbekannte Kundin des Auld Cedar. Der andere wurde oft dabei beobachtet, wie er unaufmerksam war und trotz der Vorschriften oft zu fehlen scheint. Ich weiß, dass diese Elfen keine professionellen Soldaten sind, doch diejenigen, die schwören, die Bürger der Siedlung zu beschützen, müssen ihrem Eid würdig sein, ansonsten sollten sie zu ihren zivilen Tätigkeiten zurückkehren.\n  Hauptfrau Klarherz	It has been reported to my attention that two of your volunteers seem not to take their duty seriously. One is a notorious customer of the Auld Cedar, a woman, and the other has been reported to be inattentive and often missing hours, in spite of regulations. I know these elves are not professional soldiers, but those who swear to protect the citizens of the settlement must be worthy of their oath, otherwise, they should return to their civilian activities.\n  Captain Brightheart
Equipment/&DLC3_Document_Clue_ElvenSettlements_03_Description	Документ, що містить нотатки капітана варти Елори Світлосерд.	A document containing notes from the guard captain Elora Brightheart.	Ein Dokument, das Notizen der Wachhauptfrau Elora Klarherz enthält.	A document containing notes from the guard captain Elora Brightheart.
Equipment/&DLC3_Document_Clue_ElvenSettlements_03_Title	Звіт	Report	Bericht	Report
Equipment/&DLC3_Document_Clue_ElvenSettlements_05_Description	Книга, що містить числа з коментарями про клієнтів і бізнес. Здається, що у Фінноліри є борги в цьому закладі, але власник все ще привітний і регулярно подає їжу та напої.	A book containing numbers, with comments about customers and business. Finnolir seems to have debts with the establishment, but the owner still seems to be welcoming and serving him food and drinks on a regular basis.	Ein Buch voller Nummern mit Notizen zu Kunden und Geschäften. Finnolir scheint in diesem Etablissement hoch verschuldet zu sein, doch der Besitzer heißt ihn noch immer gern willkommen und serviert ihm regelmäßig Speis und Trank.	A book containing numbers, with comments about customers and business. Finnolir seems to have debts with the establishment, but the owner still seems to be welcoming and serving him food and drinks on a regular basis.
Equipment/&DLC3_Document_Clue_ElvenSettlements_05_Title	Грошова книга	Ledger	Bestandsbuch	Ledger
Equipment/&DLC3_Document_Draconic_Description	Ця книга містить велику кількість текстів і схем. Здається, вона про малекалонські Малі Ворота, але все написано драконікою з технічними термінами, які ви не розумієте. Хтось із конкретними знаннями, як Віолет Гудчір, можливо, зміг би використати цю інформацію, але ви точно ні.	This book contains a wealth of texts and schematics. It seems to be about Manacalon Minor Gates, but it's all written in draconic with technical terms that you don't understand. Someone with specific knowledge like Violet Goodcheer could maybe exploit it, but you certainly cannot.	Dieses Buch enthält eine Vielzahl von Texten und Schaubildern. Es scheint von den manacalonischen Kleinen Toren zu handeln, doch alles ist auf drakonisch geschrieben und enthält technische Ausdrücke, die du nicht verstehst. Jemand mit dem nötigen Fachwissen wie Viola Frohmut könnte daraus sicher Informationen ziehen, aber du ganz bestimmt nicht.	This book contains a wealth of texts and schematics. It seems to be about Manacalon Minor Gates, but it's all written in draconic with technical terms that you don't understand. Someone with specific knowledge like Violet Goodcheer could maybe exploit it, but you certainly cannot.
Equipment/&DLC3_Document_Draconic_Title	Драконічний щоденник	Draconic Diary	Drakonisches Tagebuch	Draconic Diary
Equipment/&DLC3_DragonPlateArmor_Description	Вершина пластинчастої броні, укрита шарами драконьої луски для додаткового посилення. Вона надає неабиякий захист, включаючи стійкість до вогню, кислоти, отрути та рубаного пошкодження.	A masterpiece of plate armor, layered with dragon scales to further reinforce it. Wearing it provides incredible levels of protection, including resistance to fire, acid, poison, and slashing damage.	Ein Meisterwerk der Ritterrüstungen mit einer Schicht aus Drachenschuppen, um sie zu verstärken. Sie zu tragen, verleiht unglaublichen Schutz, einschließlich Resistenz gegen Feuer, Säure, Gift und Hiebschaden.	A masterpiece of plate armor, layered with dragon scales to further reinforce it. Wearing it provides incredible levels of protection, including resistance to fire, acid, poison, and slashing damage.
Equipment/&DLC3_DragonPlateArmor_Title	Драконові лати	Dragon Plate Armor	Drachen-Ritterrüstung	Dragon Plate Armor
Equipment/&DLC3_DwarvenWeapon_BattleAxe+3_Ability	Твій показник Сили тіла дорівнює 21, поки ти тримаєш цю зброю і налаштований на неї. Вона не діє, якщо твій показник Сили тіла вже дорівнює 21 або більше.	Your Constitution score is 21 while you are wielding this weapon and are attuned to it. It has no effect if your Constitution score is already 21 or higher.	Deine Konstitution beträgt 21, wenn du diese Waffe führst und mit ihr im Einklang stehst. Wenn deine Konstitution bereits 21 oder mehr beträgt, hat sie keinen Effekt.	Your Constitution score is 21 while you are wielding this weapon and are attuned to it. It has no effect if your Constitution score is already 21 or higher.
Equipment/&DLC3_DwarvenWeapon_Battleaxe+3_Description	Створена до Катаклізму гірськими гномами-магами, чиї секрети давно втрачені, ця типічно гномська бойова сокира має руни, які чітко зазначають, що її виготовили для боротьби з велетнями.	Made before the Cataclysm by dwarven mountain mages whose secrets have since been long lost, this typically dwarven battle axe displays runes that clearly state that it was made to fight giants.	Diese typische zwergische Streitaxt wurde vor dem Kataklysmus von zwergischen Bergmagiern, deren Geheimnisse seit Langem verloren sind, gefertigt. Sie ist mit Runen geschmückt, die besagen, dass sie für den Kampf gegen Riesen gemacht ist.	Made before the Cataclysm by dwarven mountain mages whose secrets have since been long lost, this typically dwarven battle axe displays runes that clearly state that it was made to fight giants.
Equipment/&DLC3_DwarvenWeapon_Battleaxe+3_Title	Розколювач черепів	Skullcleaver	Schädelspalter	Skullcleaver
Equipment/&DLC3_DwarvenWeapon_Crossbow+3_Description	Викована та зачарована майстром-кузнецом Крістафом Флінталлом, ця арбалет була розроблена як основна зброя для полювання на тролів.	Forged and enchanted by master smith Krzystaff Flinthall, this crossbow was designed as a primary weapon for troll hunters.	Diese Armbrust, vom Meisterschmied Krzystaff Flinthalle geschmiedet und verzaubert, wurde als primäre Waffe für Trolljäger entwickelt.	Forged and enchanted by master smith Krzystaff Flinthall, this crossbow was designed as a primary weapon for troll hunters.
Equipment/&DLC3_DwarvenWeapon_Crossbow+3_Title	Розбещеність	Decadence	Dekadenz	Decadence
Equipment/&DLC3_DwarvenWeapon_Dagger+3_Ability	Твій показник Інтелекту дорівнює 21, поки ти тримаєш цю зброю та налаштований на неї. Вона не діє, якщо твій показник Інтелекту вже дорівнює 21 або більше.	Your Intelligence score is 21 while you are wielding this weapon and are attuned to it. It has no effect if your Intelligence score is already 21 or higher.	Deine Intelligenz beträgt 21, wenn du diese Waffe führst und mit ihr im Einklang stehst. Wenn deine Intelligenz bereits 21 oder mehr beträgt, hat sie keinen Effekt.	Your Intelligence score is 21 while you are wielding this weapon and are attuned to it. It has no effect if your Intelligence score is already 21 or higher.
Equipment/&DLC3_DwarvenWeapon_Dagger+3_CriticalThreshold	Ваші атаки завдають критичного удару при кидку 19 або 20, коли ви тримаєте цю зброю і налаштовані на неї.	Your attacks score a critical hit on an 19 or 20 while you are wielding this weapon and are attuned to it.	Deine Angriffe landen bei einer 19 oder 20 einen kritischen Treffer, wenn du diese Waffe trägst und mit ihr im Einklang bist.	Your attacks score a critical hit on an 19 or 20 while you are wielding this weapon and are attuned to it.
Equipment/&DLC3_DwarvenWeapon_Dagger+3_Description	Відлитий та зачарований майстром-кузнецом Кжиштафом Флінталлом, цей ніж був розроблений як вторинна зброя для полювальників на тролів північних земель Сніжного Союзу.	Forged and enchanted by master smith Krzystaff Flinthall, this dagger was designed as a secondary weapon for troll hunters of the northern lands of the Snow Alliance.	Dieser Dolch, vom Meisterschmied Krzystaff Flinthalle geschmiedet und verzaubert, wurde als sekundäre Waffe für Trolljäger der Nordlande der Schnee-Allianz entwickelt.	Forged and enchanted by master smith Krzystaff Flinthall, this dagger was designed as a secondary weapon for troll hunters of the northern lands of the Snow Alliance.
Equipment/&DLC3_DwarvenWeapon_Dagger+3_Title	Раптова смерть	Sudden Death	Plötzlicher Tod	Sudden Death
