MainMenu/&StartingLevelRange	{0}-{1}
Equipment/&Ingredient_Primed_Morningstar_Title	Підготовлена молота
Equipment/&Ingredient_Primed_Rapier_Description	Зачарована майстром-кузнецом Манакалона, ця зброя виготовлена з магічного сплаву. Їй потрібен лише каталізатор, щоб розкрити свій потенціал.
Equipment/&Ingredient_Primed_Rapier_Title	Підготований рапіра
Equipment/&Ingredient_Primed_ScaleMail_Description	Зачарована майстром-кузнецом Манакалона, ця броня виготовлена з магічного сплаву. Їй потрібен лише каталізатор, щоб розкрити свій потенціал.
Equipment/&Ingredient_Primed_ScaleMail_Title	Підготована шкіряна броня
Equipment/&Ingredient_Primed_Scimitar_Description	Цю зброю виготовив і зачарував майстер-кузень з Манакалона. Вона виготовлена з магічного сплаву та потребує лише каталізатора, щоб розкрити свій потенціал.
Equipment/&Ingredient_Primed_Scimitar_Title	Підготований кривий меч
Equipment/&Ingredient_Primed_Shortbow_Description	Зачарований майстром-лучними Колтанніна, ця зброя виготовлена з магічних дерев і сплавів. Їй потрібен лише каталізатор, щоб розкрити свій потенціал.
Equipment/&Ingredient_Primed_Shortbow_Title	Підготовлений короткий лук
Equipment/&Ingredient_Primed_Shortsword_Description	Зачарований майстром-кузнецом Манакалона, ця зброя виготовлена з магічного сплаву. Їй потрібен лише каталізатор, щоб розкрити свій потенціал.
Equipment/&Ingredient_Primed_Shortsword_Title	Підготований короткий меч
Equipment/&Ingredient_PurpleAmber_Description	Ця викопана смола з дерев, старших за Манакалон, дуже важка для формування: вона твердіша за сталь, а її уламки незвичайно гострі. Їх можна використати для виготовлення магічної зброї.
Equipment/&Ingredient_PurpleAmber_Title	Фіолетовий бурштин
Equipment/&Ingredient_QueenIvy_Description	Невелика квітка, яку часто використовували як декоративний мотив у манокалонській архітектурі, але зараз вона рідкісна.
Equipment/&Ingredient_QueenIvy_Title	Цариця Плющ
Equipment/&Ingredient_RefinedOil_Description	Невелика кількість очищеного олії.
Equipment/&Ingredient_RefinedOil_Title	Очищена олія
Equipment/&Ingredient_Serpentinite_Description	Цей зелений порошок походить від темного каменю, який рідко зустрічається на Соласті.
Equipment/&Ingredient_Serpentinite_Title	Серпентиніт
Equipment/&Ingredient_Shard_Of_Fire_Description	Уламок вогню отримують з суті Вогняного елементаля, який помер у власному вимірі. Його можна використати для виготовлення різних магічних речей.
Equipment/&Ingredient_Shard_Of_Fire_Title	Уламок вогню
Equipment/&Ingredient_ShardOfIce_Description	Уламок льоду отримують з сутності Елементалю льоду, який помер у власному вимірі. Його можна використати для створення різних магічних речей.
Equipment/&Ingredient_ShardOfIce_Title	Уламок льоду
Equipment/&Ingredient_SkarnPowder_Description	Брудно-коричневий порошок, який виготовляють шляхом подрібнення рідкісного кристалу з Пустощів.
Equipment/&Ingredient_SkarnPowder_Title	Порошок скарну
Equipment/&Ingredient_Slavestone_Description	Особливо цінний для рабів Манакалона, оскільки їх гострі краї робили ідеальними тимчасовими зброями під час повстання. Манакалон цінував їх за силу заклинань.
Equipment/&Ingredient_Slavestone_Title	Камінь рабства
Equipment/&Ingredient_Soul_Gem_Description	Звичайний камінь, зачарований некромантичною сутністю. Після поглинання життєвої сутності багатьох жертв він стає душекамнем.
Equipment/&Ingredient_Soul_Gem_Title	Душа-камінь
Equipment/&Ingredient_Stardust_Description	Цей пил зібрався арканістами з Манакалона з залишків метеоритного дощу. Незвичайні матеріали, які він містить, наділяють його магічними властивостями, і його можна використовувати для зачаровування предметів.
Equipment/&Ingredient_Stardust_Title	Зіркова пил
Equipment/&Ingredient_StormHeather_Description	Рідкісна квітка з Пустелю, про яку говорять, що вона росте там, де блискавка влучила у землю.
Equipment/&Ingredient_StormHeather_Title	Громовик
Equipment/&Ingredient_TrollAcanthus_Description	Дуже міцна рослина, яка, як кажуть, відновлюється після обрізання.
Equipment/&Ingredient_TrollAcanthus_Title	Трольовий акантус
Equipment/&Ingredient_VenomGland_Description	Зібрано з тіла павука з Пустощів. Його можна перегоняти, щоб створити отруту для клинків.
Equipment/&Ingredient_VenomGland_Title	Павучий отруйний залоза
Equipment/&Item_Food_Ration_Description	Тканинна торба з достатньою <#A95827>їжею на один день</color>: хліб, сухе м'ясо, сирі овочі та горіхи.
Equipment/&Item_Food_Ration_Title	Сумка з пайками
Equipment/&ItemTypeAmmunitionTitle	Боєприпаси
Equipment/&ItemTypeArmorTitle	Броню ({0})
Equipment/&ItemTypeClothTitle	Одяг
Equipment/&ItemTypeContainerTitle	Контейнер
Equipment/&ItemTypeLightSourceDescription	Яскраве {0} + Слабке {1}
Equipment/&ItemTypeLightSourceTitle	Джерело світла
Equipment/&ItemTypePotionTitle	Зілля
Equipment/&ItemTypeRingTitle	Перстень
Equipment/&ItemTypeRodTitle	Жезл
Equipment/&ItemTypeScrollTitle	Сувій
Equipment/&ItemTypeSpellbookTitle	Гримуар
Equipment/&ItemTypeSpellFocusTitle	Фокус закляття
Equipment/&ItemTypeStaffTitle	Жезл
Equipment/&ItemTypeStarterPackTitle	Стартовий набір
Equipment/&ItemTypeToolTitle	Інструмент
Equipment/&ItemTypeWandTitle	Жезл
Equipment/&ItemTypeWeaponTitle	Зброя
Equipment/&ItemTypeWondrousTitle	Дивовижний предмет
Equipment/&JavelinPlusOne	Дротик +1
Equipment/&JavelinTypeTitle	Дротик
Equipment/&LanceTypeTitle	Копія
Equipment/&LeatherArmorPlus+1_Title	Шкіряний обладунок +1
Equipment/&LeatherArmorPlus1_Description	Цей обладунок використовували розвідники в армії Манакалона. Ймовірно, він належав шляхетному воїнові та наповнений магією, що забезпечує додатковий захист.
Equipment/&LeatherArmorPlus1_Unidentified_Description	Цей вишуканий обладунок має емблеми старовинного елфійського роду.
Equipment/&LeatherArmorPlus1_Unidentified_Title	Чудова шкіряна броня
Equipment/&LiamsHeirloom_Description	Це спадщина — чудовий рубінові, ймовірно, вартістю близько 500 золотих.
Equipment/&LiamsHeirloom_Title	Спадщина Ліама
Equipment/&LightArmorCategoryDescription	Виготовлена з м'яких і тонких матеріалів, легка броня підходить для рухливих пригодників, оскільки забезпечує деякий захист без втрати мобільності.
Equipment/&LightArmorCategoryTitle	Легка броня
Equipment/&LightCrossbowTypeTitle	Легкий арбалет
Equipment/&LightHammerTypeTitle	Легкий молот
Equipment/&LongbowTypeTitle	Довгий лук
Equipment/&Longsword_plus_one_Description	Довгий меч інквізитора Тірмарії, освячений божественною магією.
Equipment/&Longsword_plus_one_Title	Довгий меч +1
Equipment/&Longsword_plus_one_Unidentified_Description	Цей вишуканий довгий меч виглядає як давній і цінний.
Equipment/&Longsword_plus_one_Unidentified_Title	Чудовий довгий меч
Equipment/&LongswordTypeTitle	Дворучний меч
Equipment/&MaceTypeTitle	Булава
Equipment/&ManacalonRosaryDescription	Цей підвіск використовують для зачаровування речей з використанням підготовлених матеріалів, створених давніми майстрами магії Манокалон. Практично неможливо відтворити їхні ритуали, але їх можна завершити тимі, хто має необхідні навички та інгредієнти.
Equipment/&ManacalonRosaryTitle	Чотки Манокалон
Equipment/&MartialWeaponCategoryDescription	Ці зброї вимагають спеціальної підготовки для використання без штрафу.
Equipment/&MartialWeaponCategoryTitle	Бойова зброя
Equipment/&MaulTypeTitle	Двобійний молот
Equipment/&MaxRangeTitle	Максимальна відстань
Equipment/&MediumArmorCategoryDescription	Середня броня надає більше захисту, ніж легка, але й більше обмежує рух.
Equipment/&MediumArmorCategoryTitle	Середня броня
Equipment/&Morningstar_plus_1_Description	Добре прикрашений молоточок, який використовували шокові війська імперії Манакалона, наділений магією.
Equipment/&Morningstar_plus_1_Title	Молоточок Манакалона +1
Equipment/&Morningstar_plus_1_Unidentified_Description	Цей вишукано прикрашений молоточ є явно зброєю високої якості.
Equipment/&Morningstar_plus_1_Unidentified_Title	Величний молоточ
Equipment/&MorningstarTypeTitle	Моргенштерн
Equipment/&MusicalInstrumentCategoryTitle	Музичний інструмент ({0})
Equipment/&MusicalInstrumentLyreTypeDescription	Якщо ви вмієте грати на певному музичному інструменті, ви можете додавати свій бонус вміння до будь-яких перевірок здібностей, які робите для гри на цьому інструменті. Бард може використовувати музичний інструмент як фокус заклинання. Кожен тип музичного інструмента вимагає окремої вміння.
Equipment/&MusicalInstrumentLyreTypeTitle	Ліра
Equipment/&NecklaceOfFireballsTitle	Намисто вогняних куль
Equipment/&NecklaceSpecialDescription	Якість цього намиста вище середнього.
Equipment/&NecklaceSpecialTitle	Красива намистина
Equipment/&NeedleTypeTitle	Стріла для дутого рушниці
Equipment/&NetTypeTitle	Сітка
Equipment/&NoArmorCategoryDescription	Цей вид основного одягу не надає жодної природної захисту.
Equipment/&NoArmorCategoryTitle	Без броні
Equipment/&OfOrcsAndMenContent	Читання цієї книги дає тобі глибші знання про орків та їх природу.
Equipment/&OfOrcsAndMenDescription	Книга про різні племена орків.
Equipment/&OfOrcsAndMenHeader	Орки Соласти
Equipment/&OfOrcsAndMenTitle	Про орків та людей
Equipment/&OgreJavelinTitle	Огрійське спис
Equipment/&OrcArrowTypeTitle	Стріла орка
Equipment/&OrcGreataxeTypeTitle	Великий сокира орка
Equipment/&OrcJavelinTitle	Оркський спис
Equipment/&OrcMaceTypeTitle	Оркська булава
Equipment/&OrcShortbowTypeTitle	Оркський короткий лук
Equipment/&PebbleThrowTypeTitle	Камінчик
Equipment/&PikeTypeTitle	Ричаг
Equipment/&Poison_basicDescription	Простий хімічний отрута, яка завдає шкоди.
Equipment/&Poison_basicTitle	Основна отрута
Equipment/&Poison_DeepSpiderDescription	Отрута, отримана з отруйних залоз глибинних павуків. Можна наносити на зброю та боєприпаси, щоб завдавати додаткової шкоди та сповільнювати ворога.
Equipment/&Poison_DeepSpiderTitle	Отрута глибинного павука
Equipment/&Poison_SpiderDescription	Отрута, отримана з отруйних залоз павуків Пустощів. Можна наносити на зброю та боєприпаси для додаткового ушкодження.
Equipment/&Poison_SpiderTitle	Отрута павука
Equipment/&Poison_WinterWolfPeltDescription	Цей чарівний хутро можна використати для виготовлення цікавого предмета.
Equipment/&Poison_WinterWolfPeltTitle	Шкура зимового вовка
Equipment/&PoisonersKitToolTypeDescription	Містить флакони, хімікати, рослини та інші прилади, необхідні для створення отрут. Для деяких отрут також може знадобитися отрута істоти.
Equipment/&PoisonersKitToolTypeTitle	Набір отруйника
Equipment/&PotionGiantStrengthCloudDescription	Коли ти випиваєш цей зілля, твоя СИЛА стає 27 на 1 годину.
Equipment/&PotionGiantStrengthCloudTitle	Зілля гігантської сили (Хмара)
Equipment/&PotionGiantStrengthFireDescription	Коли ти випиваєш це зілля, твій СИЛА дорівнює 25 протягом 1 години.
Equipment/&PotionGiantStrengthFireTitle	Зілля гігантської сили (Вогонь)
Equipment/&PotionGiantStrengthFrostDescription	Коли ти випиваєш це зілля, твій СИЛА дорівнює 23 протягом 1 години.
Equipment/&PotionGiantStrengthFrostTitle	Зілля гігантської сили (мороз)
Equipment/&PotionGiantStrengthHillDescription	Коли ти випиваєш це зілля, твій СИЛА дорівнює 21 протягом 1 години.
Equipment/&PotionGiantStrengthHillTitle	Зілля гігантської сили (Гора)
Equipment/&PotionHealingRemedyDescription	Містить блискучу рідину. Лікує частину втрачених очок здоров'я, якщо випити.
Equipment/&PotionHealingRemedyTitle	Зілля лікування
Equipment/&PotionOfClimbingDescription	Коли ти випиваєш цей зілля, ти можеш лазити як павук протягом 1 години.
Equipment/&PotionOfClimbingTitle	Зілля лазіння
Equipment/&PotionOfFlyingDescription	Коли ти вип'єш цей зілля, ти можеш літати протягом 1 години.
Equipment/&PotionOfFlyingTitle	Зілля польоту
Equipment/&PotionOfGreaterHealingDescription	Містить блискучу рідину. Відновлює частину втрачених очок здоров'я при споживанні.
Equipment/&PotionOfGreaterHealingTitle	Зілля більшого лікування
Equipment/&PotionOfHealingDescription	Містить блискучу рідину. Лікує частину втрачених очок здоров'я при споживанні.
Equipment/&PotionOfHealingTitle	Зілля лікування
Equipment/&PotionOfHeroismDescription	Вживання цього зілля надає вам додаткові очки здоров'я на деякий час, а також ефекти закляття благословення.
Equipment/&PotionOfHeroismTitle	Зілля героїзму
Equipment/&PotionOfInvisibilityDescription	Робить тебе невидимим на 1 годину.
Equipment/&PotionOfInvisibilityTitle	Зілля невидимості
Equipment/&PotionOfSpeedDescription	Вживання цього зілля накладає на тебе ефект закляття спішність.
Equipment/&PotionOfSpeedTitle	Зілля швидкості
Equipment/&PotionOfSuperiorHealingDescription	Містить блискучу рідину. Лікує частину втрачених очок здоров'я при споживанні.
Equipment/&PotionOfSuperiorHealingTitle	Зілля вищої лікування
Equipment/&PotionofwaterbreatingDescription	Містить блискучу рідину. Лікує частину втрачених очок здоров'я, якщо її випити.
Equipment/&PotionofwaterbreatingTitle	Зцілюючий засіб
Equipment/&PouchDescription	Шкіряний і тканинний мішечок для зберігання дрібних речей.
Equipment/&PouchTitle	Сумка
Equipment/&PriestPackTitle	Набір священника
Equipment/&QuarterstaffTypeTitle	Палиця
Equipment/&RapierTypeTitle	Рапіра
Equipment/&ReachTitle	Дальність
Equipment/&RingDetectInvisibleDescription	Цей перстень виявляє невидимих істот на відстані до 12 клітин.
Equipment/&RingDetectInvisibleTitle	Перстень виявлення невидимих
Equipment/&RingOfProtection_plus_one_Description	Елегантний срібний перстень з гербом щита.
Equipment/&ScaleArmorPlus+1_Title	Шкалувата броня +1
Equipment/&ScaleArmorPlus1_Description	Цю броню використовували розвідники в армії Манакалона. Вона, ймовірно, належала благородному воїнові і наповнена магією, що забезпечує додатковий захист.
Equipment/&ScaleArmorPlus1_Unidentified_Description	Цей вишуканий броньований одяг демонструє майстерність давніх ковалів з Манакалона.
Equipment/&ScaleArmorPlus1_Unidentified_Title	Чудова луската броня
Equipment/&ScholarPackTitle	Набір вченого
Equipment/&ScimitarTypeTitle	Скімітар
Equipment/&ScrollAcidArrowDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття кислотної стріли.
Equipment/&ScrollAcidArrowTitle	Сувій кислотної стріли
Equipment/&ScrollBaneDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Блискавка.
Equipment/&ScrollBaneTitle	Сувій блискавки
Equipment/&ScrollBarkskinDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Дубову шкіру.
Equipment/&ScrollBarkskinTitle	Сувій дубової шкіри
Equipment/&ScrollBlessDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Благословення.
Equipment/&ScrollBlessTitle	Сувій Благословення
Equipment/&ScrollBurningHandsDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття "Горючі руки".
Equipment/&ScrollBurningHandsTitle	Сувій "Горючі руки"
Equipment/&ScrollColorSprayDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Колірний спрей.
Equipment/&ScrollColorSprayTitle	Сувій закляття Колірний спрей
Equipment/&ScrollCureWoundsDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Лікування поранень.
Equipment/&ScrollCureWoundsTitle	Сувій закляття Лікування поранень
Equipment/&ScrollExpeditiousRetreatDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Швидкого відступу.
Equipment/&ScrollExpeditiousRetreatTitle	Сувій Швидкого відступу
Equipment/&ScrollFireballDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Вогняна куля.
Equipment/&ScrollFireballTitle	Сувій вогняної кулі
Equipment/&ScrollFogCloudDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Хмара туману.
Equipment/&ScrollFogCloudTitle	Сувій Хмари туману
Equipment/&ScrollGreaseDescription	Коли ти використовуєш цей Сувій, ти накладаєш закляття Олія.
Equipment/&ScrollGreaseTitle	Сувій олії
Equipment/&ScrollGuidingBoltDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Провідний болід.
Equipment/&ScrollGuidingBoltTitle	Сувій Провідного боліду
Equipment/&ScrollHideousLaughterDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Нестримний регіт.
Equipment/&ScrollHideousLaughterTitle	Сувій Жахливого Сміху
Equipment/&ScrollHoldPersonDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Утримання людини.
Equipment/&ScrollHoldPersonTitle	Сувій Утримання людини
Equipment/&ScrollIdentifyDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Ідентифікація.
Equipment/&ScrollIdentifyTitle	Сувій закляття Ідентифікація
Equipment/&ScrollJumpDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Стрибок.
Equipment/&ScrollJumpTitle	Сувій стрибка
Equipment/&ScrollKitToolTypeDescription	Містить необхідні інструменти та матеріали для приготування магічного чорнила та виготовлення свитків заклять.
Equipment/&ScrollKitToolTypeTitle	Набір для створення свитків
Equipment/&ScrollLesserRestorationDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Меньше відновлення.
Equipment/&ScrollLesserRestorationTitle	Сувій меншого відновлення
Equipment/&ScrollLightningBoltDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Блискавка.
Equipment/&ScrollLightningBoltTitle	Сувій блискавки
Equipment/&ScrollMageArmorDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Магічна броня.
Equipment/&ScrollMageArmorTitle	Сувій магічної броні
Equipment/&ScrollMagicMissileDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Магічна стріла.
Equipment/&ScrollMagicMissileTitle	Сувій магічної стріли
Equipment/&ScrollProtectionFromEvilandGoodDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Захист від зла і добра.
Equipment/&ScrollProtectionFromEvilandGoodTitle	Сувій захисту від зла і добра
Equipment/&ScrollRaiseDeadDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Повернення до життя.
Equipment/&ScrollRaiseDeadTitle	Сувій закляття Повернення до життя
Equipment/&ScrollRevivifyDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Відродження.
Equipment/&ScrollRevivifyTitle	Сувій Відродження
Equipment/&ScrollScorchingRayDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Скорчінг Рей.
Equipment/&ScrollScorchingRayTitle	Сувій Скорчінг Рей
Equipment/&ScrollShieldOfFaithDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Щит віри.
Equipment/&ScrollShieldOfFaithTitle	Сувій Щита віри
Equipment/&ScrollSleepDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Сніг.
Equipment/&ScrollSleepTitle	Сувій сну
Equipment/&ScrollThunderwaveDescription	Коли ви використовуєте цей Сувій, ви накладаєте закляття Грімова хвиля.
Equipment/&ScrollThunderwaveTitle	Сувій Грімової хвилі
Equipment/&Sellsword_Background_Quest_Document_01	Дорогий друг, тепер, коли ти врятував барона, я мушу з тобою поговорити про деякі питання з минулого, які я зараз можу відкрити. Я не був повністю чесним з тобою під час твоєї останньої відвідини. Чи зупинишся ти наступного разу, коли будеш у Копарані?\nЧіткого неба для тебе,\nМілдред Вогнесерце
Equipment/&Sellsword_Background_Quest_Document_02	Дороге дитя,\nМи скоро зустрінем свою долю, твоя мати і я. Старий друг доставить цей лист тобі, коли ти досягнеш точки, де шукаєш сенс і відповіді в житті. \nТе, що ми зробили, ми зробили, щоб захистити тебе, навіть якщо це важко повірити. Це важко залишити дитину одну у світі, але це краще за деякі інші долі. \nМи не були достатньо сильними, щоб чинити опір спокусі, але ми будемо достатньо сильними, щоб не дати злу перемогти в кінці.
Equipment/&Sellsword_Background_Quest_Document_03	Дайте мені звіт негайно! Пам'ятайте, ми завжди спостерігаємо - і якщо ви навіть подумаєте про зраду, ваша дитина буде першою, хто постраждає! Ми всюди! Очікую ваш наступний звіт через два дні!
Equipment/&Shield_plus_1_Description	Легкий і міцний магічний щит, який використовували шокові війська імперії Манакалона.
Equipment/&Shield_plus_1_Title	Щит +1
Equipment/&Shield_plus_1_Unidentified_Description	Цей металевий щит виготовлений з великою майстерністю, а на його поверхні вигравіювані таємничі руни.
Equipment/&Shield_plus_1_Unidentified_Title	Чудовий щит
Equipment/&Shield_plus_2_Description	Потужний магічний щит, який використовувала Золота кавалерія Тірмара в часи Катаклізму.
Equipment/&Shield_plus_2_Title	Щит +2
Equipment/&ShieldCategoryDescription	Щит виготовлений з дерева або металу і тримається в одній руці. Ви можете користуватися лише одним щитом одночасно.
Equipment/&ShieldCategoryTitle	Щит
Equipment/&Shortbow_plus_1_Description	Відмінно збалансований зачарований короткий лук епохи Манакалона, який використовували розвідники Імперії.
Equipment/&Shortbow_plus_1_Title	Короткий лук +1
Equipment/&Shortbow_plus_1_Unidentified_Description	Цей чудово збалансований короткий лук вигравіюваний давніми рунами.
Equipment/&Shortbow_plus_1_Unidentified_Title	Чудовий короткий лук
Equipment/&ShortbowPlus1TypeTitle	Короткий лук+1
Equipment/&ShortbowTypeTitle	Короткий лук
Equipment/&ShortswordTypeTitle	Короткий меч
Equipment/&SickleTypeTitle	Серп
Equipment/&SimpleWeaponCategoryDescription	Найпростіші типи зброї, якими більшість людей можуть користуватися вправно, але не всі.
Equipment/&SimpleWeaponCategoryTitle	Прості зброї
Equipment/&SlingTypeTitle	Рогатка
Equipment/&SpearTypeTitle	Спис
Equipment/&SpellbookCapacityDescription	Використані сторінки: {0}/{1}
Equipment/&SpellbookContainsDescription	Закляття: {0}
Equipment/&SpellbookDescription	Необхідний для чарівників, заклинник — це том у шкіряному переплеті з 100 порожніми пергаментними сторінками, придатними для запису заклять.
Equipment/&SpellbookTitle	Книга заклинь
Equipment/&StaffOfFireDescription	Ще одне творіння Ланатіра Золотоспала. Це не просто прикраса, а могутня зброя у правильних руках.
Equipment/&StaffOfFireTitle	Жезл вогню
Equipment/&StaffSpecialDescription	Чудовий жезл, можливо, більше, ніж здається спочатку.
Equipment/&StaffSpecialTitle	Відмінний жезл
Equipment/&StarterPackGeneralDescription	Стартовий комплект містить все, що потрібно персонажу для початку пригодницького життя.
Equipment/&StartingWealth10GPDescription	Ваші заощадження
Equipment/&StartingWealth10GPTitle	10 золотих монет
Equipment/&StartingWealth15GPDescription	Ваші заощадження
Equipment/&StartingWealth15GPTitle	15 золотих монет
Equipment/&StartingWealth25GPDescription	Ваші заощадження
Equipment/&StartingWealth25GPTitle	25 золотих монет
Equipment/&StartingWealth40GPDescription	Ваші заощадження
Equipment/&StartingWealth40GPTitle	40 золотих монет
Equipment/&ThievesToolTypeDescription	Містить невеликий різак, набір відмичок, дзеркальце на металевій ручці, набір вузьколезових ножиць та пасатижі. Корисно для знешкодження пасток і відкривання замків.
Equipment/&ThievesToolTypeTitle	Злодійські знаряддя
Equipment/&ToM_ArchaeologicalNotes_01_Content	Ця жінка з Манакалона, ймовірно, була високопосадованою чарівницею. Вона могла жити тут, на сході від Внутрішньої імперії…<i>Далі йдуть різні нотатки про статую.</i>
Equipment/&ToM_ArchaeologicalNotes_01_Description	Нотатки про можливу майстриню магії з Манакалона, засновані на статуї, яку знайшли в руїнах вежі.
Equipment/&ToM_ArchaeologicalNotes_01_Title	Археологічні нотатки
Equipment/&ToM_ArchaeologicalNotes_02_Content	Ця статуя зображає гуманоїдного дракона, одягненого у класичні мантії магістрів Манакалона. Вчений може знати, що це означає.
Equipment/&ToM_ArchaeologicalNotes_02_Description	Записки про дивну статую, знайдену в руїнах вежі на Пустошах.
Equipment/&ToM_ArchaeologicalNotes_02_Title	Археологічні записки
Equipment/&ToM_ArchaeologicalNotes_03_Content	Ця статуя у класичній позі, яку використовували для імператорів. Написи називають ім'я Леритіра Імрадира.
Equipment/&ToM_ArchaeologicalNotes_03_Description	Замітки про статую Леритіра Імрадира, останнього імператора Манакалона. Це означає, що вежа була активною, коли стався Катаклізм.
Equipment/&ToM_ArchaeologicalNotes_03_Title	Археологічні нотатки
Equipment/&ToM_SecretSpellbook_Content	Це заклинник неможливо відкрити. Його можливо закрили магією власник перед Катаклізмом! Хто ж знає, які закляття він містить? Знайди того, хто зможе його відкрити.
Equipment/&ToM_SecretSpellbook_Description	Чарівний закритий заклинник з епохи Манакалона.
Equipment/&ToM_SecretSpellbook_Title	Таємний заклинник
Equipment/&ToM_SorakHead_Description	Цей огидний пакет є доказом, якого потребує Рада Спадщини. Сорракатхи не просто міф!
Equipment/&ToM_SorakHead_Title	Голова сорракатха
Equipment/&TorchHolderTitle	Тримач смолоскипа
Equipment/&TorchTitle	Смолоскип
Equipment/&TowerOfMagic_Myth_Document_Content	Багато хто зауважував, що великі народи стародавньої Соласти мають здатність до одного з класичних елементів: давні ельфи були пов'язані з Повітрям, гноми — із Землею, а напівлісичі — із Водою. \nХоча багато хто заперечує цю гіпотезу, є кілька переконливих аргументів на її користь, і залишені без відповіді питання недостатні для повного та задовільного спростування. \nЕльфи найдавніших часів були виключно високими ельфами. \nСильванська гілка з'явилася внаслідок розколу серед їхнього народу, який супроводжував заснування імперії Манакалонн. \nДеякі, незадоволені жорсткістю її правління та висловлюючи багато скарг на тиранію, віддалилися…
Equipment/&TowerOfMagic_Myth_Document_Description	Стара книга, написана гномською мовою.
Equipment/&TowerOfMagic_Myth_Document_Title	Міфи Соласти
Equipment/&TowerOfMagic_SorakOrders_Content	Вона повинна бути десь у старому вежі. Якщо ви її знайдете, покличте Цшара. Захищайте її ціною життя.
Equipment/&TowerOfMagic_SorakOrders_Description	Лист, знайдений поруч із короною на тілі Сорра-Акката.
Equipment/&TowerOfMagic_SorakOrders_Title	Лист Сорра-Акката
Equipment/&TowerOfMagic_WorkerLetter_Content	Інші здалися. Але я можу втекти, можливо. Сподіваюсь, що дійду до дому раніше за них. Вони б усіх убили, я знаю це. Вони б без вагань вбили моїх дітей. Вони чисто зло.
Equipment/&TowerOfMagic_WorkerLetter_Description	Лист, знайдений на тілі людини-робітника поруч з руїнами вежі.
Equipment/&TowerOfMagic_WorkerLetter_Title	Лист робітника
Equipment/&TridentTypeTitle	Тризубець
Equipment/&UnarmedStrikeBaseTitle	Голими руками
Equipment/&Unidentified_Potion_Description	Ця пляшка містить блискучу рідину - можливо, магічну, але неідентифіковану.
Equipment/&Unidentified_Potion_Title	Невідомий еліксир
Equipment/&UnidentifiedWeaponDescription	Ця зброя явно виготовлена з високою якістю, і може мати додаткові властивості.
Equipment/&WandDetectMagicDescription	Накладає закляття виявлення магії, витрачаючи один заряд. Жезл має 3 заряди і відновлює по 1d3 зарядів кожного світанку.
Equipment/&WandDetectMagicTitle	Жезл виявлення магії
Equipment/&WandFearTitle	Жезл страху
Equipment/&WandLightningBoltsTitle	Жезл блискавок
Equipment/&WandMagicMissileTitle	Жезл магічних снарядів
Equipment/&WandSpecialDescription	Жезл витонченої роботи, можливо з невідомими властивостями.
Equipment/&WandSpecialTitle	Чудова паличка
Equipment/&WarhammerTypeTitle	Військовий молот
Equipment/&WarpickTypeTitle	Військовий молот
Equipment/&WeaponTagAmmunitionTitle	Боєприпаси
Equipment/&WeaponTagFinesseTitle	Гнучкість
Equipment/&WeaponTagHeavyTitle	Тяжке
Equipment/&WeaponTagLightTitle	Легка
Equipment/&WeaponTagLoadingTitle	Завантаження
Equipment/&WeaponTagReachTitle	Дальність
Equipment/&WeaponTagThrownTitle	Метана зброя
Equipment/&WeaponTagTwoHandedTitle	Дворушний
Equipment/&WeaponTagVersatileTitle	Універсальний
Equipment/&WhipTypeTitle	Бічування
Equipment/&Kickstarter_Item_Golden_Key_Description	Золотий ключ незвичайної складності, виготовлений годинникарами імперії Манакалон.
Equipment/&Kickstarter_Item_Golden_Key_Title	Золотий ключ
